"id";"userName";"password";"fullName";"phoneNumber";"email";"gender";"birthDate";"status";"type";"desc";"createdAt";"updatedAt"
1;"eric";"111";"Eric Cantona";"12344442226";"eric@gmail.com";1;"1992-03-24 00:00:00";2;1;"aaaaaaaaaaaaaaaaaaaa";"";"2024-02-15 10:35:27"
2;"reo";"222";"Reo Essien";"13943992313";"reo@gmail.com";2;"1991-06-04 00:00:00";2;2;"bbbbbbbbbbbbbbbbbbbbbbb";"";"2024-02-15 10:35:27"
4;"kevin";"kkk";"Kevin D";"03098473856";"kevin@gmail.com";1;"1983-02-18 15:00:00";3;2;"kevin Deruyne 17";"2024-02-13 05:05:19";"2024-02-15 10:35:27"
9;"keeeeeeeen";"kkk";"Kevin D";"03098473856";"kevin@gmail.com";1;"1983-02-18 15:00:00";1;2;"kevin Deruyne 17";"2024-02-13 08:20:29";"2024-02-15 10:35:27"
10;"keeeeeeeen";"kkk";"Kevin D";"03098473856";"kevin@gmail.com";1;"1983-02-18 15:00:00";3;2;"kevin Deruyne 17";"2024-02-13 08:20:44";"2024-02-15 10:35:27"
11;"io";"fx";"Peter";"03098473822";"peter@gmail.com";1;"1983-03-28 15:00:00";2;2;"mxc,.nvxvncz,ik";"2024-02-14 07:47:06";"2024-02-15 10:35:27"
134;"ios0dfhd";"fx";"Peter";"03098473822";"odsjahofihfier@gmail.com";1;"1983-03-28 15:00:00";2;2;"mxc,.nvxvncz,ik";"2024-02-14 12:23:08";"2024-02-15 11:20:12"
158;"ccccccccccxz";"fx";"Peter";"03098473822";"peter@gmail.com";1;"1983-03-28 15:00:00";2;2;"mxc,.nvxvncz,ik";"2024-02-14 12:57:23";"2024-02-15 11:08:35"
160;"ffffffffffffffff";"fx";"Peter";"03098473822";"fater@gmail.com";1;"1983-03-28 15:00:00";2;2;"mxc,.nvxvncz,ik";"2024-02-14 13:23:20";"2024-02-16 02:14:32"
166;"zcxewr";"fasf";"dsfcgh";"0309841111";"peter@gmail.com";1;"1983-03-28 15:00:00";1;2;"mxc,.nvxvncz,ik";"2024-02-16 02:03:33";"2024-02-16 03:30:12"
167;"zcxewr";"fasf";"dsfcgh";"03098473822";"peter@gmail.com";1;"1983-03-28 15:00:00";1;2;"mxc,.nvxvncz,ik";"2024-02-16 02:03:34";"2024-02-16 02:03:34"
168;"zcxewr";"fasf";"dsfcgh";"03098473822";"peter@gmail.com";1;"1983-03-28 15:00:00";1;2;"mxc,.nvxvncz,ik";"2024-02-16 02:23:42";"2024-02-16 02:23:42"
176;"zcxewr";"fasf";"dsfcgh";"03098473822";"peter@gmail.com";1;"1983-03-28 15:00:00";1;2;"mxc,.nvxvncz,ik";"2024-02-16 04:15:38";"2024-02-16 04:15:38"
178;"zcxewr";"fasf";"dsfcgh";"03098473822";"peter@gmail.com";1;"1983-03-28 15:00:00";1;2;"mxc,.nvxvncz,ik";"2024-02-16 04:15:40";"2024-02-16 04:15:40"
179;"zcxewr";"fasf";"dsfcgh";"03098473822";"peter@gmail.com";1;"1983-03-28 15:00:00";1;2;"mxc,.nvxvncz,ik";"2024-02-16 04:19:38";"2024-02-16 04:19:38"
180;"zcxewr";"fasf";"dsfcgh";"03098473822";"peter@gmail.com";1;"1983-03-28 15:00:00";1;2;"mxc,.nvxvncz,ik";"2024-02-16 04:19:38";"2024-02-16 04:19:38"
181;"zcxewr";"fasf";"dsfcgh";"03098473822";"peter@gmail.com";1;"1983-03-28 15:00:00";1;2;"mxc,.nvxvncz,ik";"2024-02-16 04:19:39";"2024-02-16 04:19:39"
182;"zcxewr";"fasf";"dsfcgh";"03098473822";"peter@gmail.com";1;"1983-03-28 15:00:00";1;2;"mxc,.nvxvncz,ik";"2024-02-16 04:19:39";"2024-02-16 04:19:39"
186;"zcxewr";"fasf";"dsfcgh";"03098473822";"peter@gmail.com";1;"1983-03-28 15:00:00";1;2;"mxc,.nvxvncz,ik";"2024-02-16 04:22:27";"2024-02-16 04:22:27"
187;"zcxewr";"fasf";"dsfcgh";"03098473822";"peter@gmail.com";1;"1983-03-28 15:00:00";1;2;"mxc,.nvxvncz,ik";"2024-02-16 04:22:28";"2024-02-16 04:22:28"
188;"zcxewr";"fasf";"dsfcgh";"03098473822";"peter@gmail.com";1;"1983-03-28 15:00:00";1;2;"mxc,.nvxvncz,ik";"2024-02-16 04:22:28";"2024-02-16 04:22:28"
190;"zcxewr";"fasf";"dsfcgh";"03098473822";"peter@gmail.com";1;"1983-03-28 15:00:00";1;2;"mxc,.nvxvncz,ik";"2024-02-16 04:23:16";"2024-02-16 04:23:16"
191;"zcxewr";"fasf";"dsfcgh";"03098473822";"peter@gmail.com";1;"1983-03-28 15:00:00";1;2;"mxc,.nvxvncz,ik";"2024-02-16 04:23:16";"2024-02-16 04:23:16"
192;"zcxewr";"fasf";"dsfcgh";"03098473822";"peter@gmail.com";1;"1983-03-28 15:00:00";1;2;"mxc,.nvxvncz,ik";"2024-02-16 04:23:17";"2024-02-16 04:23:17"
193;"zcxewr";"fasf";"dsfcgh";"03098473822";"peter@gmail.com";1;"1983-03-28 15:00:00";1;2;"mxc,.nvxvncz,ik";"2024-02-16 04:23:18";"2024-02-16 04:23:18"
194;"zcxewr";"fasf";"dsfcgh";"03098473822";"peter@gmail.com";1;"1983-03-28 15:00:00";1;2;"mxc,.nvxvncz,ik";"2024-02-16 04:23:19";"2024-02-16 04:23:19"
196;"zcxewr";"fasf";"dsfcgh";"03098473822";"peter@gmail.com";1;"1983-03-28 15:00:00";1;2;"mxc,.nvxvncz,ik";"2024-02-16 04:23:20";"2024-02-16 04:23:20"
197;"zcxewr";"fasf";"dsfcgh";"03098473822";"peter@gmail.com";1;"1983-03-28 15:00:00";1;2;"mxc,.nvxvncz,ik";"2024-02-16 04:23:21";"2024-02-16 04:23:21"
198;"zcxewr";"fasf";"dsfcgh";"03098473822";"peter@gmail.com";1;"1983-03-28 15:00:00";1;2;"mxc,.nvxvncz,ik";"2024-02-16 04:23:21";"2024-02-16 04:23:21"
199;"zcxewr";"fasf";"dsfcgh";"03098473822";"peter@gmail.com";1;"1983-03-28 15:00:00";1;2;"mxc,.nvxvncz,ik";"2024-02-16 04:23:22";"2024-02-16 04:23:22"
